"key","en","it"
"play_btn","PLAY","GIOCA"
"score_btn","SCOREBOARD","CLASSIFICA"
"credits_text","Created by:\n\n        Leonardo Bassetto, Developer. \n        Aline Muniz and Ana Toriani, Producer. \n        Lorenzo Bonicontro, Artist.","Creato da:\n\n        Leonardo Bassetto, Sviluppatore. \n        Aline Muniz e Ana Toriani, Produttrice. \n        Lorenzo Bonicontro, Artista."
"how_to_title","HOW TO PLAY:","COME GIOCARE:"
"how_to_text","Click anywhere on the screen to move up and down.\nThe hummingbirds represents your energy.","Fare clic in un punto qualsiasi dello schermo per spostarsi su e giù. Il colibrì rappresenta la tua energia."
"checkpoint_title","CHECKPOINTS:","PUNTO DI RACCOLTA:"
"checkpoint_text","Recycle all the garbage collected in exchange for a life and more points!","Ricicla tutti i rifiuti raccolti in cambio di una vita e più punti!"
"avoid_title","AVOID THESE:","EVITARE QUESTI:"
"collect_title","COLLECT THESE:","RACCOGLI QUESTI:"
"score_hud","SCORE:","PUNTEGGIO:"
"end_text","Thanks\nfor your help!\nBut we still have a\nlong way to go.","Grazie\ndel tuo aiuto!\nMa abbiamo ancora un\nlungo cammino da fare."
"last_run","LAST RUN:","ULTIMA GARA:"
"best_run","HIGHEST SCORE:","PUNTEGGIO PIÙ ALTO:"